区分,背番号/役職,氏名,WEB用ファイル名(参照パス),ステータス
選手,1,川田 修平,images/players/01_kawata-shuhei.webp,OK 反映済(黒背景Dセット)
選手,3,東 廉太,images/players/03_higashi-renta.webp,OK 反映済(黒背景Dセット)
選手,4,佐藤 祥,images/players/04_sato-sho.webp,OK 反映済(黒背景Dセット)
選手,5,柳 育崇,images/players/05_yanagi-yasutaka.webp,OK 反映済(黒背景Dセット)
選手,6,阿部 海斗,images/players/06_abe-kaito.webp,OK 反映済(黒背景Dセット)
選手,7,大迫 塁,images/players/07_osako-rui.webp,OK 反映済(黒背景Dセット)
選手,9,近藤 慶一,images/players/09_kondo-yoshihito.webp,OK 反映済(黒背景Dセット)
選手,10,五十嵐 太陽,images/players/10_igarashi-taiyo.webp,OK 反映済(黒背景Dセット)
選手,11,青島 太一,images/players/11_aoshima-taichi.webp,OK 反映済(黒背景Dセット)
選手,13,大曽根 広汰,images/players/13_osone-kota.webp,OK 反映済(黒背景Dセット)
選手,14,鈴木 俊也,images/players/14_suzuki-shunya.webp,OK 反映済(黒背景Dセット)
選手,15,堤 陽輝,images/players/15_tsutsumi-haruki.webp,OK 反映済(黒背景Dセット)
選手,16,名願 斗哉,images/players/16_myogan-toya.webp,OK 反映済(黒背景Dセット)
選手,17,杉森 考起,images/players/17_sugimori-koki.webp,OK 反映済(黒背景Dセット)
選手,18,松下 佳貴,images/players/18_matsushita-yoshiki.webp,OK 反映済(黒背景Dセット)
選手,20,鈴木 輪太朗 イブラヒーム,images/players/20_suzuki-wadi-ibrahim.webp,OK 反映済(黒背景Dセット)
選手,21,櫻庭 立樹,images/players/21_sakuraba-riki.webp,OK 反映済(黒背景Dセット)
選手,23,世瀬 啓人,images/players/23_sese-hiroto.webp,OK 反映済(黒背景Dセット)
選手,24,田端 琉聖,images/players/24_tabata-ryusei.webp,OK 反映済(黒背景Dセット)
選手,25,山口 太陽,images/players/25_yamaguchi-taiyo.webp,OK 反映済(黒背景Dセット)
選手,26,田畑 知起,images/players/26_tabata-tomoki.webp,OK 反映済(黒背景Dセット)
選手,27,永井 大士,images/players/27_nagai-taishi.webp,OK 反映済(黒背景Dセット)
選手,29,矢野 貴章,images/players/29_yano-kisho.webp,OK 反映済(黒背景Dセット)
選手,31,鹿野 修平,images/players/31_shikano-shuhei.webp,OK 反映済(黒背景Dセット)
選手,37,木邨 優人,images/players/37_kimura-yuto.webp,OK 反映済(黒背景Dセット)
選手,39,屋宜 和真,images/players/39_yagi-kazuma.webp,OK 反映済(黒背景Dセット)
選手,41,田代 琉我,images/players/41_tashiro-ryuga.webp,OK 反映済(黒背景Dセット)
選手,47,吉野 陽翔,images/players/47_yoshino-haruto.webp,OK 反映済(黒背景Dセット)
選手,71,猪越 優惟,images/players/71_inokoshi-yui.webp,OK 反映済(黒背景Dセット)
選手,77,中村 仁郎,images/players/77_nakamura-jiro.webp,OK 反映済(黒背景Dセット)
選手,80,オタボー ケネス,images/players/80_otabor-kenneth.webp,OK 反映済(黒背景Dセット)
選手,81,中野 克哉,images/players/81_nakano-katsuya.webp,OK 反映済(黒背景Dセット)
選手,88,内田 航平,images/players/88_uchida-kohei.webp,OK 反映済(黒背景Dセット)
スタッフ,監督,米山 篤志,images/staff/staff_01_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,ヘッドコーチ,濱崎 芳己,images/staff/staff_02_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,コーチ,小幡 直嗣,images/staff/staff_03_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,コーチ,安井 聡志,images/staff/staff_04_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,コーチ,中村 元,images/staff/staff_05_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,GKコーチ,阿部 謙作,images/staff/staff_06_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,フィジカルコーチ,坂本 裕史,images/staff/staff_07_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,スプリントコーチ,定道 大生,images/staff/staff_14_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,チーフトレーナー,松本 祐太,images/staff/staff_08_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,トレーナー,渡辺 貴裕,images/staff/staff_09_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,トレーナー,横田 光洋,images/staff/staff_10_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,通訳,北村イララガブリエル,images/staff/staff_11_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,マネージャー,瀬戸 敬士朗,images/staff/staff_12_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
スタッフ,マネージャー,國嶋 璃玖,images/staff/staff_13_face.webp,OK 確定(白カード×明るい背景×真顔・20260724決定)
