区分,背番号/役職,氏名,元ファイル名,WEB用ファイル名(参照パス),ステータス
選手,1,川田 修平,01_KAWATA_Shuhei.jpg,images/players/01_kawata-shuhei.jpg,OK 反映済
選手,21,櫻庭 立樹,21_SAKURABA_Riki.jpg,images/players/21_sakuraba-riki.jpg,OK 反映済
選手,31,鹿野 修平,31_SHIKANO_Shuhei.jpg,images/players/31_shikano-shuhei.jpg,OK 反映済
選手,41,田代 琉我,41_TASHIRO_Ryuga.jpg,images/players/41_tashiro-ryuga.jpg,OK 反映済
選手,71,猪越 優惟,71_INOKOSHI_Yui.jpg,images/players/71_inokoshi-yui.jpg,OK 反映済
選手,3,東 廉太,03_HIGASHI_Renta.jpg,images/players/03_higashi-renta.jpg,OK 反映済
選手,5,柳 育崇,05_YANAGI_Yasutaka.jpg,images/players/05_yanagi-yasutaka.jpg,OK 反映済
選手,6,阿部 海斗,06_ABE_Kaito.jpg,images/players/06_abe-kaito.jpg,OK 反映済
選手,14,鈴木 俊也,14_SUZUKI_Shuniya.jpg,images/players/14_suzuki-shuniya.jpg,OK 反映済
選手,24,田端 琉聖,24_TABATA_Ryusei.jpg,images/players/24_tabata-ryusei.jpg,OK 反映済
選手,26,田畑 知起,26_TABATA_Tomoki.jpg,images/players/26_tabata-tomoki.jpg,OK 反映済
選手,37,木邨 優人,37_KIMURA_Yuto.jpg,images/players/37_kimura-yuto.jpg,OK 反映済
選手,88,内田 航平,88_UCHIDA_Kohei.jpg,images/players/88_uchida-kohei.jpg,OK 反映済
選手,4,佐藤 祥,04_SATO_Sho.jpg,images/players/04_sato-sho.jpg,OK 反映済
選手,7,大迫 塁,07_OSAKO_Rui.jpg,images/players/07_osako-rui.jpg,OK 反映済
選手,10,五十嵐 太陽,10_IGARASHI_Taiyo.jpg,images/players/10_igarashi-taiyo.jpg,OK 反映済
選手,11,青島 太一,11_AOSHIMA_Taichi.jpg,images/players/11_aoshima-taichi.jpg,OK 反映済
選手,13,大曽根 広汰,13_OSONE_Kota.jpg,images/players/13_osone-kota.jpg,OK 反映済
選手,15,堤 陽輝,15_TSUTSUMI_Haruki.jpg,images/players/15_tsutsumi-haruki.jpg,OK 反映済
選手,16,名願 斗哉,16_MYOGAN_Toya.jpg,images/players/16_myogan-toya.jpg,OK 反映済
選手,17,杉森 考起,17_SUGIMORI_Koki.jpg,images/players/17_sugimori-koki.jpg,OK 反映済
選手,18,松下 佳貴,18_MATSUSHITA_Yoshiki.jpg,images/players/18_matsushita-yoshiki.jpg,OK 反映済
選手,23,世瀬 啓人,23_SESE_Hiroto.jpg,images/players/23_sese-hiroto.jpg,OK 反映済
選手,27,永井 大士,27_NAGAI_Taishi.jpg,images/players/27_nagai-taishi.jpg,OK 反映済
選手,39,屋宜 和真,39_YAGI_Kazuma.jpg,images/players/39_yagi-kazuma.jpg,OK 反映済
選手,47,吉野 陽翔,47_YOSHINO_Haruto.jpg,images/players/47_yoshino-haruto.jpg,OK 反映済
選手,77,中村 仁郎,77_NAKAMURA_Jiro.jpg,images/players/77_nakamura-jiro.jpg,OK 反映済
選手,81,中野 克哉,81_NAKANO_Katsuya.jpg,images/players/81_nakano-katsuya.jpg,OK 反映済
選手,9,近藤 慶一,09_KONDO_Yoshihito.jpg,images/players/09_kondo-yoshihito.jpg,OK 反映済
選手,20,鈴木 輪太朗 イブラヒーム,20_SUZUKI_Wadi_Ibrahim.jpg,images/players/20_suzuki-wadi-ibrahim.jpg,OK 反映済
選手,25,山口 太陽,25_YAMAGUCHI_Taiyo.jpg,images/players/25_yamaguchi-taiyo.jpg,OK 反映済
選手,29,矢野 貴章,29_YANO_Kisho.jpg,images/players/29_yano-kisho.jpg,OK 反映済
